Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Assay]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Spike-in Quality Control]	Term Source REF	Term Accession Number	Parameter Value[Spike-in Mix Number]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[library selection]	Parameter Value[library layout]	Parameter Value[stranded]	Parameter Value[Library QA Instrument]	Term Source REF	Term Accession Number	Parameter Value[Library QA Assay]	Term Source REF	Term Accession Number	Parameter Value[Fragment Size]	Unit	Term Source REF	Term Accession Number	Comment[Library Prep Date]	Protocol REF	Parameter Value[sequencing instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[base caller]	Assay Name	Raw Data File	Protocol REF	Parameter Value[rRNA Contamination]	Unit	Term Source REF	Term Accession Number	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[Raw sequence data/MultiQC Reports]
RR8_LVR_BSL_ISS-T_OLD_BI1	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	4.9	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_OLD_BI1	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			312	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI1_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI1_R2_raw.fastq.gz	GeneLab raw data processing protocol	3.78	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	54477267	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_OLD_BI2	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	5.6	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_OLD_BI2	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			339	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI2_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI2_R2_raw.fastq.gz	GeneLab raw data processing protocol	3.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	61115053	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_OLD_BI3	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	6.6	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_OLD_BI3	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			332	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI3_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI3_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	63712483	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_OLD_BI4	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	5.5	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_OLD_BI4	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			346	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	29-Oct-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI4_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI4_R2_raw.fastq.gz	GeneLab raw data processing protocol	0.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	63108146	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_OLD_BI5	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	5.7	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_OLD_BI5	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			313	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI5_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI5_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.86	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	56208952	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_OLD_BI6	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	5.7	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_OLD_BI6	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			335	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI6_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI6_R2_raw.fastq.gz	GeneLab raw data processing protocol	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	61969509	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_OLD_BI7	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	4.7	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_OLD_BI7	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			323	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	17-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI7_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI7_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.88	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	63099811	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_OLD_BI8	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	6	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_OLD_BI8	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			316	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	17-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI8_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI8_R2_raw.fastq.gz	GeneLab raw data processing protocol	3.95	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	82765564	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_OLD_BI9	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	5.1	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_OLD_BI9	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			320	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	29-Oct-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI9_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_OLD_BI9_R2_raw.fastq.gz	GeneLab raw data processing protocol	2.5	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	60838427	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_YNG_BI11	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	4.7	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_YNG_BI11	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			338	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI11_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI11_R2_raw.fastq.gz	GeneLab raw data processing protocol	4.08	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	62381689	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_YNG_BI12	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	5.2	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_YNG_BI12	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			350	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI12_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI12_R2_raw.fastq.gz	GeneLab raw data processing protocol	2.75	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	57800093	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_YNG_BI13	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	6.1	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_YNG_BI13	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			334	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Nov-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI13_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI13_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.24	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	61620904	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_YNG_BI14	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	6.5	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_YNG_BI14	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			379	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI14_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI14_R2_raw.fastq.gz	GeneLab raw data processing protocol	5.85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	70028229	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_YNG_BI15	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	5.5	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_YNG_BI15	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			350	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	10-Feb-21	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI15_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI15_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.45	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	58206630	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
RR8_LVR_BSL_ISS-T_YNG_BI16	nucleic acid extraction	Agilent 4200 Tapestation	Agilent RNA ScreenTape Assay	4.6	RNA Integrity Number	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63637	RR8_LVR_BSL_ISS-T_YNG_BI16	spike-in protocol	ERCC ExFold RNA Spike-In Mix			Mix 1			library construction	Ribo-depletion	PAIRED	STRANDED	Agilent 4200 TapeStation			Agilent D1000 ScreenTape Assay			321	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	14-Dec-20	nucleic acid sequencing	Illumina NovaSeq 6000	149	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	rna-seq	GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI16_R1_raw.fastq.gz, GLDS-379_rna-seq_RR8_LVR_BSL_ISS-T_YNG_BI16_R2_raw.fastq.gz	GeneLab raw data processing protocol	1.49	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	57816247	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-379_rna_seq_raw_multiqc.html, GLDS-379_rna_seq_raw_multiqc_data.zip
